1733251883,16.0,65.1
1733251885,8.7,65.1
1733251887,10.7,65.1
1733251889,7.6,65.1
1733251890,7.7,65.1
1733251892,4.0,65.0
1733251894,10.1,65.1
1733251896,3.6,65.0
1733251898,3.3,64.8
1733251900,3.9,64.7
1733251902,5.5,64.7
1733251904,3.5,64.6
1733251906,3.6,64.6
1733251908,3.6,64.6
1733251910,3.4,64.6
1733251912,7.7,64.7
1733251914,4.8,64.7
1733251916,3.5,64.7
1733251918,3.9,64.7
1733251920,4.1,64.7
1733251922,2.7,64.8
1733251924,6.1,64.7
1733251927,7.2,64.9
1733251929,13.7,65.1
1733251931,66.7,66.7
1733251933,24.9,66.2
1733251935,21.8,66.2
1733251937,11.3,66.0
1733251939,18.7,66.3
1733251941,20.6,66.4
1733251943,22.3,66.2
1733251945,17.0,66.0
1733251947,6.9,65.6
1733251949,16.4,65.6
1733251951,21.0,65.8
1733251953,22.4,66.0
1733251955,18.2,66.0
1733251957,15.1,66.0
1733251959,16.3,66.0
1733251961,11.8,65.6
1733251963,13.8,65.5
1733251965,33.0,66.3
1733251967,10.2,66.0
1733251969,10.8,66.1
1733251971,4.0,65.6
1733251973,6.6,66.0
1733251975,15.1,65.8
1733251977,13.4,65.8
1733251979,4.0,65.3
1733251981,4.0,65.2
1733251983,4.4,65.1
1733251985,16.5,66.2
1733251987,19.5,66.3
1733251989,13.4,65.4
1733251991,10.1,65.3
1733251993,15.2,65.8
1733251995,11.9,65.6
1733251997,10.4,65.7
1733251999,12.0,65.6
1733252001,5.7,65.2
1733252003,11.5,65.3
1733252005,11.9,65.5
1733252007,8.0,65.4
1733252009,9.6,65.4
1733252011,13.1,65.8
1733252013,7.0,65.5
1733252015,5.9,65.4
1733252017,4.4,65.4
1733252019,6.0,65.4
1733252021,10.8,65.5
1733252023,9.8,65.4
1733252025,3.6,65.3
1733252027,6.2,65.3
1733252029,4.1,65.3
1733252031,5.2,65.3
1733252033,6.6,65.3
1733252035,5.5,65.3
1733252037,3.9,65.2
1733252039,4.6,65.1
1733252041,4.7,65.1
1733252043,7.5,65.0
1733252045,3.7,65.1
1733252047,5.0,65.0
1733252049,4.1,65.0
1733252051,5.3,65.0
1733252053,5.7,65.0
1733252055,5.6,65.0
1733252057,10.8,65.5
1733252059,9.7,65.4
1733252061,5.9,65.1
1733252063,12.5,65.4
1733252065,8.6,65.6
1733252067,8.1,65.4
1733252069,14.9,65.4
1733252071,15.8,65.4
1733252073,9.4,65.2
1733252075,7.6,65.1
1733252077,3.9,65.1
1733252079,4.9,65.2
1733252081,4.1,65.1
1733252083,8.4,65.1
1733252085,4.1,65.1
1733252087,5.7,65.1
1733252089,12.6,65.2
1733252091,5.9,65.1
1733252093,5.2,65.0
1733252095,9.5,64.9
1733252097,3.6,64.9
1733252099,5.2,64.8
1733252101,3.5,64.9
1733252103,7.6,64.9
1733252105,13.4,64.9
1733252107,5.1,64.9
1733252109,5.1,64.9
1733252111,6.1,64.9
1733252113,7.4,65.0
1733252115,10.9,65.0
1733252117,3.1,64.8
1733252119,5.8,64.9
1733252121,2.7,64.9
1733252123,8.0,64.9
1733252125,3.5,65.0
1733252127,5.0,64.9
1733252129,3.1,64.9
1733252131,6.0,64.9
1733252133,6.1,64.8
1733252135,5.6,65.0
1733252137,5.4,64.9
1733252139,9.1,64.9
1733252141,25.5,65.1
1733252143,30.5,66.0
1733252145,27.7,66.2
1733252147,21.7,66.0
1733252149,38.6,66.3
1733252151,22.8,65.8
